WKT,id,province_id,name,alt_name,latitude,longitude
"POINT (111.1034976 -8.1632389)",3501.0,35.0,KABUPATEN PACITAN,KABUPATEN PACITAN,-8.1632389,111.1034976
"POINT (111.4642942 -7.8625866)",3502.0,35.0,KABUPATEN PONOROGO,KABUPATEN PONOROGO,-7.8625866,111.4642942
"POINT (111.6935722 -8.0606129)",3503.0,35.0,KABUPATEN TRENGGALEK,KABUPATEN TRENGGALEK,-8.0606129,111.6935722
"POINT (111.9551229 -8.0894758)",3504.0,35.0,KABUPATEN TULUNGAGUNG,KABUPATEN TULUNGAGUNG,-8.0894758,111.9551229
"POINT (112.1689767 -8.0939)",3505.0,35.0,KABUPATEN BLITAR,KABUPATEN BLITAR,-8.0939,112.1689767
"POINT (112.048567 -7.849656)",3506.0,35.0,KABUPATEN KEDIRI,KABUPATEN KEDIRI,-7.849656,112.048567
"POINT (112.6859056 -7.9953411)",3507.0,35.0,KABUPATEN MALANG,KABUPATEN MALANG,-7.9953411,112.6859056
"POINT (113.2323973 -8.1302659)",3508.0,35.0,KABUPATEN LUMAJANG,KABUPATEN LUMAJANG,-8.1302659,113.2323973
"POINT (113.6857094 -8.1602793)",3509.0,35.0,KABUPATEN JEMBER,KABUPATEN JEMBER,-8.1602793,113.6857094
"POINT (114.3702907 -8.2028427)",3510.0,35.0,KABUPATEN BANYUWANGI,KABUPATEN BANYUWANGI,-8.2028427,114.3702907
"POINT (113.8323379 -7.9050328)",3511.0,35.0,KABUPATEN BONDOWOSO,KABUPATEN BONDOWOSO,-7.9050328,113.8323379
"POINT (114.0060548 -7.7057824)",3512.0,35.0,KABUPATEN SITUBONDO,KABUPATEN SITUBONDO,-7.7057824,114.0060548
"POINT (113.1656068 -7.78503)",3513.0,35.0,KABUPATEN PROBOLINGGO,KABUPATEN PROBOLINGGO,-7.78503,113.1656068
"POINT (112.8553039 -7.6543863)",3514.0,35.0,KABUPATEN PASURUAN,KABUPATEN PASURUAN,-7.6543863,112.8553039
"POINT (112.7 -7.45)",3515.0,35.0,KABUPATEN SIDOARJO,KABUPATEN SIDOARJO,-7.45,112.7
"POINT (112.4752804 -7.5064276)",3516.0,35.0,KABUPATEN MOJOKERTO,KABUPATEN MOJOKERTO,-7.5064276,112.4752804
"POINT (112.2805558 -7.5455759)",3517.0,35.0,KABUPATEN JOMBANG,KABUPATEN JOMBANG,-7.5455759,112.2805558
"POINT (111.904491 -7.6068065)",3518.0,35.0,KABUPATEN NGANJUK,KABUPATEN NGANJUK,-7.6068065,111.904491
"POINT (111.5497495 -7.6316434)",3519.0,35.0,KABUPATEN MADIUN,KABUPATEN MADIUN,-7.6316434,111.5497495
"POINT (111.3330775 -7.6542481)",3520.0,35.0,KABUPATEN MAGETAN,KABUPATEN MAGETAN,-7.6542481,111.3330775
"POINT (111.4360632 -7.4063499)",3521.0,35.0,KABUPATEN NGAWI,KABUPATEN NGAWI,-7.4063499,111.4360632
"POINT (111.8741604 -7.151899)",3522.0,35.0,KABUPATEN BOJONEGORO,KABUPATEN BOJONEGORO,-7.151899,111.8741604
"POINT (112.0359564 -6.8862335)",3523.0,35.0,KABUPATEN TUBAN,KABUPATEN TUBAN,-6.8862335,112.0359564
"POINT (112.4114272 -7.1169772)",3524.0,35.0,KABUPATEN LAMONGAN,KABUPATEN LAMONGAN,-7.1169772,112.4114272
"POINT (112.6408912 -7.1633227)",3525.0,35.0,KABUPATEN GRESIK,KABUPATEN GRESIK,-7.1633227,112.6408912
"POINT (112.7657887 -7.0268292)",3526.0,35.0,KABUPATEN BANGKALAN,KABUPATEN BANGKALAN,-7.0268292,112.7657887
"POINT (113.2293975 -7.1821867)",3527.0,35.0,KABUPATEN SAMPANG,KABUPATEN SAMPANG,-7.1821867,113.2293975
"POINT (113.4656702 -7.1497985)",3528.0,35.0,KABUPATEN PAMEKASAN,KABUPATEN PAMEKASAN,-7.1497985,113.4656702
"POINT (113.851303 -7.0117234)",3529.0,35.0,KABUPATEN SUMENEP,KABUPATEN SUMENEP,-7.0117234,113.851303
"POINT (112.01667 -7.83333)",3571.0,35.0,KOTA KEDIRI,KOTA KEDIRI,-7.83333,112.01667
"POINT (112.1543103 -8.0959212)",3572.0,35.0,KOTA BLITAR,KOTA BLITAR,-8.0959212,112.1543103
"POINT (112.63333 -7.975)",3573.0,35.0,KOTA MALANG,KOTA MALANG,-7.975,112.63333
"POINT (113.21667 -7.78333)",3574.0,35.0,KOTA PROBOLINGGO,KOTA PROBOLINGGO,-7.78333,113.21667
"POINT (112.9 -7.65)",3575.0,35.0,KOTA PASURUAN,KOTA PASURUAN,-7.65,112.9
"POINT (112.43333 -7.46667)",3576.0,35.0,KOTA MOJOKERTO,KOTA MOJOKERTO,-7.46667,112.43333
"POINT (111.53333 -7.63333)",3577.0,35.0,KOTA MADIUN,KOTA MADIUN,-7.63333,111.53333
"POINT (112.71667 -7.26667)",3578.0,35.0,KOTA SURABAYA,KOTA SURABAYA,-7.26667,112.71667
"POINT (112.5306434 -7.8803357)",3579.0,35.0,KOTA BATU,KOTA BATU,-7.8803357,112.5306434
