WKT,id,name,alt_name,latitude,longitude
"POINT (96.7505987 4.5980219)",11.0,ACEH,ACEH,4.5980219,96.7505987
"POINT (99.4909842 2.124252)",12.0,SUMATERA UTARA,SUMATERA UTARA,2.124252,99.4909842
"POINT (100.6693496 -0.8149535)",13.0,SUMATERA BARAT,SUMATERA BARAT,-0.8149535,100.6693496
"POINT (101.7013894 0.2367532)",14.0,RIAU,RIAU,0.2367532,101.7013894
"POINT (102.4171631 -1.501736)",15.0,JAMBI,JAMBI,-1.501736,102.4171631
"POINT (103.8294048 -3.2692966)",16.0,SUMATERA SELATAN,SUMATERA SELATAN,-3.2692966,103.8294048
"POINT (102.3052907 -3.5625263)",17.0,BENGKULU,BENGKULU,-3.5625263,102.3052907
"POINT (105.3240055 -4.5708089)",18.0,LAMPUNG,LAMPUNG,-4.5708089,105.3240055
"POINT (106.3315071 -2.7028789)",19.0,KEPULAUAN BANGKA BELITUNG,KEPULAUAN BANGKA BELITUNG,-2.7028789,106.3315071
"POINT (108.1399834 3.9176983)",21.0,KEPULAUAN RIAU,KEPULAUAN RIAU,3.9176983,108.1399834
